close_code,breached_reason_code,contact_type,self_service,reopened,has_knowledge_article,reassignment_count,appl_tier,caller_vip,kcs_solution,days_to_resolve,user_dissatisfied,sla_breached,caller_is_employee,priority_is_4,company,group,application
Information Provided / Training,,self-service,1,0,1,0.0,Gold,0,KB000010100058,0,0,0,1,1,C71708,G95717,A86112
No Resolution Action,,self-service,1,0,0,1.0,Gold,0,,5,0,0,0,1,C71708,G95717,A86112
No Resolution Action,Change Implementation,self-service,1,0,0,0.0,Gold,0,,14,0,1,0,1,C71708,G95717,A86112
No Resolution Action,,self-service,1,0,0,1.0,Gold,0,,2,0,0,1,1,C71708,G95717,A86112
No Resolution Action,,chat,1,0,0,2.0,Gold,0,,3,0,0,0,1,C71708,G95717,A86112
Data Correction,,self-service,1,0,0,0.0,Gold,0,,1,0,0,0,0,C71708,G95717,A86112
Information Provided / Training,,self-service,1,1,0,0.0,Gold,0,,7,1,1,1,1,C71708,G95717,A86112
Information Provided / Training,,self-service,1,0,0,2.0,Gold,0,,3,0,0,1,1,C71708,G95717,A86112
Information Provided / Training,,self-service,1,0,0,0.0,Gold,0,,1,0,0,1,1,C71708,G95717,A86112
Data Correction,,self-service,1,0,0,0.0,Gold,0,,0,0,0,1,1,C71708,G95717,A86112
No Resolution Action,,chat,1,1,0,0.0,Gold,0,,7,1,1,1,1,C71708,G95717,A86112
Information Provided / Training,,chat,1,0,0,4.0,Gold,0,,1,0,0,0,1,C71708,G95717,A86112
Data Correction,,self-service,1,0,0,0.0,Gold,0,,1,0,0,1,1,C71708,G95717,A86112
Information Provided / Training,,self-service,1,0,0,0.0,Gold,0,,0,0,0,1,0,C71708,G95717,A86112
Information Provided / Training,,self-service,1,0,1,1.0,Gold,0,KB000010100058,1,0,0,1,1,C71708,G95717,A86112
Data Correction,,self-service,1,0,0,0.0,Gold,0,,0,0,0,1,0,C71708,G95717,A86112
Information Provided / Training,Complex Resolution,self-service,1,0,0,0.0,Gold,0,,15,0,1,1,1,C71708,G95717,A86112
No Resolution Action,,self-service,1,0,0,0.0,Gold,0,,7,0,0,1,1,C71708,G95717,A86112
Information Provided / Training,,self-service,1,0,0,1.0,Gold,0,,3,0,0,1,1,C71708,G95717,A86112
No Resolution Action,,chat,1,0,0,0.0,Gold,0,,1,0,0,1,0,C71708,G95717,A86112
No Resolution Action,,chat,1,0,0,1.0,Gold,0,,0,0,0,0,1,C71708,G95717,A86112
No Resolution Action,,chat,1,0,0,1.0,Gold,0,,3,0,0,0,1,C71708,G95717,A86112
Information Provided / Training,,self-service,1,0,0,0.0,Gold,0,,6,0,0,1,1,C71708,G95717,A86112
Information Provided / Training,,self-service,1,0,0,0.0,Gold,0,,1,0,0,1,1,C71708,G95717,A86112
Data Correction,,self-service,1,0,0,0.0,Gold,0,,0,0,0,1,0,C71708,G95717,A86112
Information Provided / Training,,chat,1,0,0,0.0,Gold,0,,0,0,0,1,1,C71708,G95717,A86112
No Resolution Action,,chat,1,0,0,2.0,Gold,0,,2,0,0,1,1,C71708,G95717,A86112
No Resolution Action,,chat,1,0,0,0.0,Gold,0,,1,0,0,1,1,C71708,G95717,A86112
Information Provided / Training,,self-service,1,0,0,0.0,Gold,0,,2,0,0,1,1,C71708,G95717,A86112
No Resolution Action,Received late or Breached,self-service,1,0,0,1.0,Gold,0,,15,1,1,1,0,C71708,G95717,A86112
No Resolution Action,,self-service,1,0,0,0.0,Gold,0,,4,1,0,1,1,C71708,G95717,A86112
Information Provided / Training,,self-service,1,0,0,0.0,Gold,0,,0,0,0,1,1,C71708,G95717,A86112
No Resolution Action,Received late or Breached,self-service,1,0,0,4.0,Gold,0,,15,0,1,1,1,C71708,G95717,A86112
No Resolution Action,,self-service,1,0,0,0.0,Gold,0,,0,0,0,1,0,C71708,G95717,A86112
No Resolution Action,,self-service,1,0,0,0.0,Gold,0,,1,0,0,0,0,C71708,G95717,A86112
Information Provided / Training,,chat,1,0,0,1.0,Gold,0,,0,0,0,1,1,C71708,G95717,A86112
No Resolution Action,,phone,0,0,0,1.0,Gold,0,,6,0,0,1,1,C71708,G95717,A86112
Information Provided / Training,,self-service,1,0,1,0.0,Gold,0,KB000010100817,4,0,0,1,1,C71708,G95717,A86112
Information Provided / Training,,self-service,1,0,0,0.0,Gold,0,,2,0,0,1,0,C71708,G95717,A86112
No Resolution Action,,self-service,1,0,1,0.0,Gold,0,KB000010100058,0,0,0,1,0,C71708,G95717,A86112
Information Provided / Training,,chat,1,0,1,1.0,Gold,0,KB000010100058,0,0,0,1,1,C71708,G95717,A86112
No Resolution Action,,self-service,1,0,0,0.0,Gold,0,,2,0,0,1,1,C71708,G95717,A86112
No Resolution Action,,chat,1,0,0,1.0,Gold,0,,2,0,0,0,1,C71708,G95717,A86112
Data Correction,,chat,1,0,0,1.0,Gold,0,,0,1,0,1,0,C71708,G95717,A86112
Information Provided / Training,,self-service,1,0,0,0.0,Gold,0,,4,0,0,1,1,C71708,G95717,A86112
No Resolution Action,,phone,0,0,0,2.0,Gold,0,,0,1,0,1,1,C71708,G95717,A86112
Information Provided / Training,,self-service,1,0,1,0.0,Gold,0,KB000010100939,5,0,0,1,1,C71708,G95717,A86112
No Resolution Action,,chat,1,0,1,0.0,Gold,0,KB000010100817,4,0,0,1,1,C71708,G95717,A86112
Information Provided / Training,,chat,1,0,0,3.0,Gold,0,,6,0,0,1,1,C71708,G95717,A86112
No Resolution Action,,self-service,1,0,0,2.0,Gold,0,,1,0,0,1,0,C71708,G95717,A86112
Information Provided / Training,,chat,1,0,0,0.0,Gold,0,,6,0,0,1,1,C71708,G95717,A86112
Information Provided / Training,,self-service,1,0,1,0.0,Gold,0,KB000010100058,4,0,0,1,1,C71708,G95717,A86112
No Resolution Action,,self-service,1,0,0,1.0,Gold,0,,4,0,0,1,0,C71708,G95717,A86112
No Resolution Action,,self-service,1,0,0,0.0,Gold,0,,3,0,0,0,1,C71708,G95717,A86112
Information Provided / Training,,chat,1,1,1,1.0,Gold,0,KB000010106433,6,0,0,1,1,C71708,G95717,A86112
No Resolution Action,,self-service,1,0,0,0.0,Gold,0,,1,0,0,1,0,C71708,G95717,A86112
Information Provided / Training,,chat,1,1,0,0.0,Gold,0,,5,1,0,1,1,C71708,G95717,A86112
No Resolution Action,,self-service,1,0,0,0.0,Gold,0,,2,0,0,1,1,C71708,G95717,A86112
Information Provided / Training,,chat,1,0,0,0.0,Gold,0,,3,1,0,1,1,C71708,G95717,A86112
No Resolution Action,,chat,1,0,1,2.0,Gold,0,KB000010104669,5,0,0,0,1,C71708,G95717,A86112
Information Provided / Training,,chat,1,0,0,0.0,Gold,0,,0,0,0,0,1,C71708,G95717,A86112
No Resolution Action,,self-service,1,0,0,1.0,Gold,0,,1,0,0,0,1,C71708,G95717,A86112
No Resolution Action,,chat,1,0,0,0.0,Gold,0,,3,0,0,1,1,C71708,G95717,A86112
Information Provided / Training,,chat,1,0,1,2.0,Gold,0,KB000010100058,5,0,0,1,1,C71708,G95717,A86112
No Resolution Action,,self-service,1,0,0,8.0,Gold,0,,7,0,0,0,1,C71708,G95717,A86112
Information Provided / Training,,self-service,1,0,0,1.0,Gold,0,,1,0,0,1,0,C71708,G95717,A86112
Information Provided / Training,,self-service,1,0,0,1.0,Gold,0,,1,0,0,1,1,C71708,G95717,A86112
Information Provided / Training,,self-service,1,0,1,0.0,Gold,0,KB000010100958,2,0,0,1,1,C71708,G95717,A86112
No Resolution Action,,self-service,1,0,0,0.0,Gold,0,,0,0,0,0,0,C71708,G95717,A86112
Information Provided / Training,,self-service,1,0,1,0.0,Gold,0,KB000010100058,3,0,0,1,1,C71708,G95717,A86112
No Resolution Action,,chat,1,0,0,1.0,Gold,0,,2,0,0,0,1,C71708,G95717,A86112
Information Provided / Training,,self-service,1,0,1,0.0,Gold,0,KB000010100058,1,0,0,1,1,C71708,G95717,A86112
Information Provided / Training,,self-service,1,0,1,0.0,Gold,0,KB000010100058,1,0,0,1,1,C71708,G95717,A86112
No Resolution Action,,chat,1,0,0,0.0,Gold,0,,0,0,0,1,0,C71708,G95717,A86112
Information Provided / Training,,self-service,1,0,1,0.0,Gold,0,KB000010100058,3,0,0,1,1,C71708,G95717,A86112
No Resolution Action,,self-service,1,0,0,2.0,Gold,0,,4,0,0,0,0,C71708,G95717,A86112
Information Provided / Training,Complex Resolution,chat,1,1,0,1.0,Gold,0,,15,1,1,1,1,C71708,G95717,A86112
Information Provided / Training,Received late or Breached,self-service,1,1,0,1.0,Gold,0,,15,1,1,0,1,C71708,G95717,A86112
Information Provided / Training,,self-service,1,0,0,1.0,Gold,0,,3,0,0,1,1,C71708,G95717,A86112
Information Provided / Training,Complex Resolution,chat,1,1,0,0.0,Gold,0,,8,1,1,1,1,C71708,G95717,A86112
Information Provided / Training,,chat,1,0,0,0.0,Gold,0,,0,0,0,1,1,C71708,G95717,A86112
Information Provided / Training,,self-service,1,0,0,0.0,Gold,0,,0,0,0,0,0,C71708,G95717,A86112
Data Correction,Received late or Breached,self-service,1,0,0,0.0,Gold,0,,8,0,1,0,1,C71708,G95717,A86112
Information Provided / Training,,self-service,1,0,1,1.0,Gold,0,KB000010100973,5,0,0,1,1,C71708,G95717,A86112
No Resolution Action,,chat,1,0,0,1.0,Gold,0,,1,0,0,0,1,C71708,G95717,A86112
Information Provided / Training,,self-service,1,0,1,0.0,Gold,0,KB000010100058,0,0,0,1,1,C71708,G95717,A86112
Information Provided / Training,,self-service,1,0,1,0.0,Gold,0,KB000010100973,4,1,0,1,1,C71708,G95717,A86112
No Resolution Action,,self-service,1,0,0,0.0,Gold,0,,0,0,0,0,0,C71708,G95717,A86112
No Resolution Action,,chat,1,0,0,2.0,Gold,0,,2,0,0,1,1,C71708,G95717,A86112
Information Provided / Training,,chat,1,0,1,1.0,Gold,0,KB000010113687,3,0,0,1,1,C71708,G95717,A86112
No Resolution Action,,phone,0,0,0,3.0,Gold,0,,1,0,0,1,1,C71708,G95717,A86112
No Resolution Action,,chat,1,0,0,1.0,Gold,0,,0,0,0,1,1,C71708,G95717,A86112
No Resolution Action,No Activity- Autoclosed,chat,1,1,0,1.0,Gold,0,,11,1,1,1,0,C71708,G95717,A86112
No Resolution Action,Received late or Breached,self-service,1,0,0,0.0,Gold,0,,5,1,1,0,0,C71708,G95717,A86112
Information Provided / Training,,self-service,1,0,0,0.0,Gold,0,,2,0,0,1,1,C71708,G95717,A86112
No Resolution Action,,chat,1,0,0,0.0,Gold,0,,0,0,0,0,1,C71708,G95717,A86112
Information Provided / Training,,self-service,1,0,0,0.0,Gold,0,,0,0,0,1,1,C71708,G95717,A86112
Information Provided / Training,,self-service,1,1,0,0.0,Gold,0,,4,1,0,1,1,C71708,G95717,A86112
Information Provided / Training,,self-service,1,0,0,0.0,Gold,0,,0,0,0,1,1,C71708,G95717,A86112
No Resolution Action,,self-service,1,0,0,0.0,Gold,0,,3,0,0,1,1,C71708,G95717,A86112
No Resolution Action,,self-service,1,0,0,1.0,Gold,0,,5,0,0,1,1,C71708,G95717,A86112
Information Provided / Training,,self-service,1,0,1,0.0,Gold,0,KB000010100058,2,0,0,1,1,C71708,G95717,A86112
No Resolution Action,,chat,1,0,0,1.0,Gold,0,,1,0,0,0,0,C71708,G95717,A86112
Information Provided / Training,,self-service,1,0,0,0.0,Gold,0,,3,0,0,0,1,C71708,G95717,A86112
Information Provided / Training,,chat,1,0,0,0.0,Gold,0,,0,0,0,0,1,C71708,G95717,A86112
No Resolution Action,,self-service,1,0,0,0.0,Gold,0,,0,1,0,1,0,C71708,G95717,A86112
Information Provided / Training,,self-service,1,0,0,0.0,Gold,0,,2,0,0,0,0,C71708,G95717,A86112
Information Provided / Training,,self-service,1,0,0,2.0,Gold,0,,5,0,0,0,1,C71708,G95717,A86112
No Resolution Action,,self-service,1,0,0,0.0,Gold,0,,1,0,0,1,0,C71708,G95717,A86112
Information Provided / Training,,chat,1,0,1,0.0,Gold,0,KB000010100058,4,0,0,1,1,C71708,G95717,A86112
Information Provided / Training,,self-service,1,0,0,0.0,Gold,0,,2,0,0,0,1,C71708,G95717,A86112
Information Provided / Training,,chat,1,0,0,1.0,Gold,0,,4,0,0,0,1,C71708,G95717,A86112
No Resolution Action,,chat,1,0,0,1.0,Gold,0,,6,0,0,1,1,C71708,G95717,A86112
Data Correction,Received late or Breached,self-service,1,0,0,1.0,Gold,0,,8,0,0,1,1,C71708,G95717,A86112
Information Provided / Training,,self-service,1,0,0,0.0,Gold,0,,2,0,0,1,1,C71708,G95717,A86112
Information Provided / Training,,chat,1,0,1,0.0,Gold,0,KB000010100058,4,0,0,1,1,C71708,G95717,A86112
No Resolution Action,Received late or Breached,self-service,1,0,0,3.0,,0,,15,0,1,1,0,C66554,G95006,A85151
No Resolution Action,,self-service,1,1,1,1.0,Gold,0,,15,0,1,0,1,C66554,G38815,A95921
No Resolution Action,3rd Party or External Event,self-service,1,1,0,1.0,Gold,0,,7,1,0,1,0,C49381,G72169,A95921
No Resolution Action,,self-service,1,0,0,0.0,Gold,0,,6,0,1,1,1,C49381,G86963,A95921
Information Provided / Training,Complex Resolution,self-service,1,0,0,2.0,Gold,0,,15,0,1,1,1,C49381,G86963,A95921
No Resolution Action,,self-service,1,0,0,0.0,Gold,0,,2,0,0,0,0,C49381,G48001,A95921
Information Provided / Training,,chat,1,0,1,1.0,Gold,0,KB000010091485,1,0,0,0,1,C49381,G48001,A95921
Information Provided / Training,Received late or Breached,chat,1,0,0,4.0,Gold,0,,8,0,1,0,1,C49381,G48001,A95921
No Resolution Action,,chat,1,0,0,0.0,Gold,0,,7,1,0,1,1,C49381,G48001,A95921
No Resolution Action,,phone,0,1,0,0.0,Gold,0,,2,1,0,1,1,C49381,G48001,A95921
Information Provided / Training,,self-service,1,0,0,1.0,Gold,0,,2,1,0,0,0,C49381,G48001,A95921
Information Provided / Training,,self-service,1,0,1,1.0,Gold,0,KB000010119149,3,0,0,0,0,C49381,G48001,A95921
Information Provided / Training,,self-service,1,0,1,3.0,Gold,0,KB000010056261,2,0,0,0,1,C49381,G48001,A95921
Environmental Restoration,,self-service,1,0,1,0.0,Gold,0,KB000010108512,1,0,0,0,0,C49381,G48001,A95921
No Resolution Action,,self-service,1,1,1,1.0,Gold,0,KB000010118756,5,1,1,1,1,C49381,G48001,A95921
Information Provided / Training,,chat,1,0,0,0.0,Gold,0,,3,0,0,1,1,C49381,G48001,A95921
Information Provided / Training,,chat,1,0,0,1.0,Gold,0,,1,0,0,1,1,C49381,G48001,A95921
Information Provided / Training,,self-service,1,0,1,2.0,Gold,0,KB000010175156,7,0,0,1,1,C49381,G48001,A95921
Information Provided / Training,,self-service,1,1,0,0.0,Gold,0,,5,1,0,1,1,C49381,G48001,A95921
Information Provided / Training,,phone,0,0,0,1.0,Gold,0,,2,0,0,0,0,C49381,G48001,A95921
Information Provided / Training,,self-service,1,0,0,2.0,Gold,0,,2,0,0,1,1,C49381,G48001,A95921
No Resolution Action,,chat,1,0,0,0.0,Gold,0,,1,0,0,1,1,C49381,G48001,A95921
Information Provided / Training,,chat,1,0,1,0.0,Gold,0,KB000010098240,1,0,0,1,1,C49381,G48001,A95921
Information Provided / Training,,chat,1,0,0,6.0,Gold,0,,6,0,1,1,1,C49381,G48001,A95921
Data Correction,Customer Delay,self-service,1,0,0,0.0,Gold,0,,9,1,1,1,1,C49381,G48001,A95921
Information Provided / Training,,self-service,1,0,0,1.0,Gold,0,,1,0,0,0,1,C49381,G48001,A95921
Information Provided / Training,,phone,0,0,0,1.0,Gold,0,,1,0,0,0,1,C49381,G48001,A95921
Information Provided / Training,,phone,0,0,0,1.0,Gold,0,,0,0,0,1,1,C49381,G48001,A95921
Information Provided / Training,,chat,1,0,0,0.0,Gold,0,,6,0,0,1,1,C49381,G48001,A95921
Information Provided / Training,Customer Delay,self-service,1,0,0,0.0,Gold,0,,15,1,1,1,1,C49381,G48001,A95921
Environmental Restoration,,self-service,1,0,1,0.0,Gold,0,KB000010109056,0,0,0,0,0,C49381,G48001,A95921
Information Provided / Training,,chat,1,0,0,0.0,Gold,0,,1,0,0,1,1,C49381,G48001,A95921
No Resolution Action,No Activity- Autoclosed,self-service,1,0,0,1.0,Gold,0,,8,0,1,1,1,C49381,G48001,A95921
No Resolution Action,,self-service,1,0,0,0.0,Gold,0,,2,0,0,1,0,C49381,G48001,A95921
Reboot / Restart,,chat,1,0,0,2.0,Gold,0,,3,0,0,0,1,C49381,G48001,A95921
No Resolution Action,,self-service,1,0,0,0.0,Gold,0,,5,0,0,1,0,C49381,G48001,A95921
No Resolution Action,Customer Delay,self-service,1,0,0,0.0,Gold,0,,7,0,0,1,1,C49381,G48001,A95921
Information Provided / Training,,self-service,1,0,0,0.0,Gold,0,,1,0,0,1,0,C49381,G48001,A95921
Information Provided / Training,,self-service,1,1,1,1.0,Gold,0,KB000010119149,5,1,0,1,0,C49381,G48001,A95921
No Resolution Action,,chat,1,0,1,1.0,Gold,0,KB000010056261,6,1,0,0,1,C49381,G48001,A95921
Information Provided / Training,,self-service,1,0,1,0.0,Gold,0,KB000010119149,2,1,0,1,0,C49381,G48001,A95921
Information Provided / Training,,self-service,1,0,1,1.0,Gold,0,KB000010102614,3,0,0,1,1,C49381,G48001,A95921
Environmental Restoration,,self-service,1,0,1,0.0,Gold,0,KB000010108512,1,0,0,0,0,C49381,G48001,A95921
No Resolution Action,,self-service,1,0,0,0.0,Gold,0,,0,0,0,1,0,C49381,G48001,A95921
Information Provided / Training,,chat,1,1,0,1.0,Gold,0,,4,1,1,1,1,C49381,G48001,A95921
Information Provided / Training,,chat,1,0,1,0.0,Gold,0,KB000010118756,1,0,0,0,1,C49381,G48001,A95921
Information Provided / Training,,self-service,1,0,0,2.0,Gold,0,,2,0,0,1,1,C49381,G48001,A95921
Information Provided / Training,,chat,1,0,1,0.0,Gold,0,KB000010134171,1,0,0,1,1,C49381,G48001,A95921
Information Provided / Training,,self-service,1,0,0,2.0,Gold,0,,4,0,0,0,0,C49381,G48001,A95921
No Resolution Action,,self-service,1,0,0,2.0,Gold,0,,4,0,0,0,1,C49381,G48001,A95921
Data Correction,,self-service,1,0,0,1.0,Gold,0,,6,0,0,0,1,C49381,G48001,A95921
Information Provided / Training,,self-service,1,0,0,0.0,Gold,0,,4,0,0,1,1,C49381,G48001,A95921
Information Provided / Training,Complex Resolution,chat,1,1,1,13.0,Gold,0,KB000010099036,15,1,1,0,1,C49381,G48001,A95921
Information Provided / Training,,chat,1,0,1,1.0,Gold,0,KB000010098240,1,0,0,1,1,C49381,G48001,A95921
Information Provided / Training,,self-service,1,0,0,0.0,Gold,0,,1,0,0,0,0,C49381,G48001,A95921
Information Provided / Training,,chat,1,0,1,1.0,Gold,0,KB000010033880,4,0,0,1,1,C49381,G48001,A95921
Information Provided / Training,,chat,1,0,1,1.0,Gold,0,KB000010100900,4,0,0,1,0,C49381,G48001,A95921
Information Provided / Training,,self-service,1,0,0,2.0,Gold,0,,3,0,0,0,1,C49381,G48001,A95921
No Resolution Action,,chat,1,0,0,0.0,Gold,0,,1,0,0,1,1,C49381,G48001,A95921
Information Provided / Training,,phone,0,0,1,3.0,Gold,0,KB000010097134,6,0,0,0,1,C49381,G48001,A95921
Information Provided / Training,,self-service,1,0,0,3.0,Gold,0,,6,0,0,0,1,C49381,G48001,A95921
Information Provided / Training,,self-service,1,0,1,2.0,Gold,0,KB000010100851,2,1,0,0,1,C49381,G48001,A95921
Information Provided / Training,,self-service,1,0,0,1.0,Gold,0,,1,0,0,1,0,C49381,G48001,A95921
Information Provided / Training,,self-service,1,0,0,2.0,Gold,0,,1,0,0,1,1,C49381,G48001,A95921
Information Provided / Training,Complex Resolution,self-service,1,0,0,2.0,Gold,0,,13,0,0,1,1,C49381,G48001,A95921
Information Provided / Training,Complex Resolution,chat,1,0,0,0.0,Gold,0,,12,0,0,1,1,C49381,G48001,A95921
Data Correction,,self-service,1,0,0,1.0,Gold,0,,2,0,0,0,1,C49381,G48001,A95921
Information Provided / Training,Received late or Breached,chat,1,0,1,3.0,Gold,0,KB000010119149,7,0,1,0,1,C49381,G48001,A95921
Information Provided / Training,,chat,1,1,1,0.0,Gold,0,KB000010098240,5,1,0,1,1,C49381,G48001,A95921
No Resolution Action,,chat,1,0,0,0.0,Gold,0,,2,0,0,1,1,C49381,G48001,A95921
Information Provided / Training,3rd Party or External Event,chat,1,1,0,0.0,Gold,0,,9,1,0,1,1,C49381,G48001,A95921
No Resolution Action,,chat,1,1,1,0.0,Gold,0,KB000010098240,1,1,0,1,1,C49381,G48001,A95921
No Resolution Action,,self-service,1,0,0,1.0,Gold,0,,6,0,0,0,1,C49381,G48001,A95921
Information Provided / Training,,phone,0,0,0,0.0,Gold,0,,3,0,0,1,1,C49381,G48001,A95921
